        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F),                C[i][4] (F),                C[i][5] (F),                C[i][6] (F)
 1.00e+00,        +3.494009556383e-13,        -1.138196782098e-13,        -1.702443247663e-14,        -5.156003306257e-15,        -1.700303155498e-14,        -5.173218765328e-15
 2.00e+00,        -1.138196782098e-13,        +3.495381383994e-13,        -5.171639381162e-15,        -1.703980945846e-14,        -5.159254691259e-15,        -1.703388375674e-14
 3.00e+00,        -1.702443247663e-14,        -5.171639381162e-15,        +1.546323764077e-13,        -4.823041775269e-14,        -1.899685710378e-16,        -1.827871238757e-16
 4.00e+00,        -5.156003306257e-15,        -1.703980945846e-14,        -4.823041775269e-14,        +1.544676927830e-13,        -1.827336183374e-16,        -1.900475697932e-16
 5.00e+00,        -1.700303155498e-14,        -5.159254691259e-15,        -1.899685710378e-16,        -1.827336183374e-16,        +1.542315232506e-13,        -4.813626784378e-14
 6.00e+00,        -5.173218765328e-15,        -1.703388375674e-14,        -1.827871238757e-16,        -1.900475697932e-16,        -4.813626784378e-14,        +1.544308518270e-13
