        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F),                C[i][4] (F),                C[i][5] (F),                C[i][6] (F)
 1.00e+00,        +3.519565457757e-13,        -1.145554408271e-13,        -1.718125128108e-14,        -5.322244040816e-15,        -1.716784242089e-14,        -5.297235297250e-15
 2.00e+00,        -1.145554408271e-13,        +3.521141279147e-13,        -5.275319175460e-15,        -1.721551597212e-14,        -5.290629716397e-15,        -1.719770706577e-14
 3.00e+00,        -1.718125128108e-14,        -5.275319175460e-15,        +1.549596895885e-13,        -4.812359007789e-14,        -1.876928824693e-16,        -1.803990909214e-16
 4.00e+00,        -5.322244040816e-15,        -1.721551597212e-14,        -4.812359007789e-14,        +1.550983770381e-13,        -1.807943098655e-16,        -1.878834877615e-16
 5.00e+00,        -1.716784242089e-14,        -5.290629716397e-15,        -1.876928824693e-16,        -1.807943098655e-16,        +1.548363011793e-13,        -4.804233692608e-14
 6.00e+00,        -5.297235297250e-15,        -1.719770706577e-14,        -1.803990909214e-16,        -1.878834877615e-16,        -4.804233692608e-14,        +1.549382334637e-13
