        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F)
 1.00e+00,        +2.051033678915e-13,        -5.193045969347e-15,        -5.158830711392e-15
 2.00e+00,        -5.193045969347e-15,        +1.085866496074e-13,        -1.409537507284e-16
 3.00e+00,        -5.158830711392e-15,        -1.409537507284e-16,        +1.134891369920e-13
