        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F)
 1.00e+00,        +1.603830773306e-13,        -5.000598284454e-15,        -4.874316964616e-15
 2.00e+00,        -5.000598284454e-15,        +8.689975307612e-14,        -1.314731652439e-16
 3.00e+00,        -4.874316964616e-15,        -1.314731652439e-16,        +8.911742445939e-14
