        i,                C[i][1] (F),                C[i][2] (F),                C[i][3] (F),                C[i][4] (F),                C[i][5] (F),                C[i][6] (F),                C[i][7] (F),                C[i][8] (F),                C[i][9] (F),               C[i][10] (F),               C[i][11] (F),               C[i][12] (F),               C[i][13] (F),               C[i][14] (F),               C[i][15] (F),               C[i][16] (F),               C[i][17] (F),               C[i][18] (F),               C[i][19] (F),               C[i][20] (F),               C[i][21] (F),               C[i][22] (F),               C[i][23] (F),               C[i][24] (F),               C[i][25] (F),               C[i][26] (F),               C[i][27] (F),               C[i][28] (F),               C[i][29] (F),               C[i][30] (F),               C[i][31] (F),               C[i][32] (F),               C[i][33] (F),               C[i][34] (F),               C[i][35] (F),               C[i][36] (F),               C[i][37] (F),               C[i][38] (F),               C[i][39] (F),               C[i][40] (F),               C[i][41] (F),               C[i][42] (F)
 3.20e+01,        -1.636216002913e-16,        -2.914892391747e-16,        -7.115922003851e-16,        -1.928270702774e-16,        -1.595441998748e-18,        -7.497187615585e-19,        -2.304352705087e-18,        -1.272022822132e-18,        -4.143423129225e-18,        -1.084100759499e-18,        -1.204055828024e-19,        -3.581309112527e-20,        -2.739584397117e-16,        -1.115481087265e-16,        -7.059039254406e-16,        -1.223254229765e-15,        -9.280924364676e-19,        -1.474009077443e-18,        -1.209306584138e-17,        -1.363149917975e-17,        -1.561564615827e-17,        -3.816093321030e-17,        -2.410673916958e-19,        -5.728949790301e-19,        -4.426720568681e-20,        -5.997043869960e-20,        -5.473411115352e-20,        -1.140419319013e-19,        -4.273465281254e-21,        -9.917317629411e-21,        -1.061755545581e-14,        +2.509833716374e-13,        -9.177290228439e-17,        -3.004941694161e-17,        -5.175673236244e-17,        -3.054258984256e-17,        -8.424545267805e-18,        -2.498989926937e-18,        -1.355296914294e-19,        -7.533814622761e-20,        -4.793310440055e-20,        -1.844570863332e-20
 3.30e+01,        -9.331950625728e-19,        -2.304336791162e-18,        -3.573315519356e-16,        -1.654483903502e-16,        -3.491452191985e-16,        -6.196891830006e-17,        -4.561538398638e-20,        -4.307877457980e-20,        -1.065196678793e-18,        -4.587084659744e-19,        -1.002930756878e-18,        -2.440293650668e-19,        -1.336738752971e-18,        -6.170840520836e-19,        -1.269925853198e-14,        -9.159050107740e-16,        -8.785032437095e-16,        -1.266618518539e-14,        -1.844680162392e-19,        -1.596330624649e-19,        -5.491145977182e-18,        -7.915095995219e-18,        -4.073721560967e-18,        -9.205833381845e-18,        -1.989984026166e-21,        -2.207568694007e-21,        -1.722320371963e-20,        -2.684180418048e-20,        -1.324639279872e-20,        -2.779551575804e-20,        -9.331670461089e-17,        -9.177290228439e-17,        +2.328830965200e-13,        -1.061679809177e-14,        -2.689016394853e-18,        -1.830729487801e-18,        -1.428209345563e-17,        -7.734616095692e-18,        -1.350518052497e-20,        -8.520768163092e-21,        -3.933989172755e-20,        -2.082115325365e-20
 3.40e+01,        -4.218330994332e-19,        -1.272225282366e-18,        -1.656957842022e-16,        -2.924682700684e-16,        -7.104298224776e-16,        -1.888820201176e-16,        -4.308309695855e-20,        -5.351947223972e-20,        -2.448623699246e-18,        -1.316140410330e-18,        -4.048887929579e-18,        -9.666958026599e-19,        -4.474423980572e-19,        -1.987267146591e-19,        -2.749652271802e-16,        -1.107674505857e-16,        -7.164045715340e-16,        -1.224674865141e-15,        -1.453754196667e-19,        -1.107534112491e-19,        -1.237877056113e-17,        -1.407236992176e-17,        -1.601251524947e-17,        -3.790459811073e-17,        -2.958441925355e-21,        -2.977407266226e-21,        -4.905682080058e-20,        -7.024069031729e-20,        -5.157922246341e-20,        -1.079182628620e-19,        -2.213536506216e-17,        -3.004941694161e-17,        -1.061679809177e-14,        +2.509829508059e-13,        -3.393474847618e-18,        -2.457272782524e-18,        -5.177399190314e-17,        -3.052265765397e-17,        -2.805884664077e-20,        -1.830737410004e-20,        -1.361180284864e-19,        -7.483537894536e-20
 3.50e+01,        -3.495067027559e-16,        -7.116473144948e-16,        -3.562200374727e-16,        -1.911611251172e-16,        -1.101041036562e-18,        -6.871197383843e-19,        -3.574994510544e-16,        -1.657181248994e-16,        -3.547187232756e-16,        -6.529103780281e-17,        -1.083327929766e-18,        -4.497989374662e-19,        -9.489594335165e-18,        -3.971702869457e-18,        -8.455417681073e-18,        -5.810094360241e-18,        -1.665287578873e-19,        -1.769792359310e-19,        -1.271356103675e-14,        -9.098066585702e-16,        -8.835804224724e-16,        -1.268643945724e-14,        -9.457489315443e-19,        -1.760366442238e-18,        -5.321004073418e-18,        -7.317453280064e-18,        -4.193289144289e-18,        -9.466272765178e-18,        -1.089114678682e-19,        -2.558228052908e-19,        -1.418636072689e-17,        -5.175673236244e-17,        -2.689016394853e-18,        -3.393474847618e-18,        +2.328421842635e-13,        -1.066219461577e-14,        -1.025526692132e-16,        -2.496240711175e-17,        -1.435370727920e-17,        -7.715260762316e-18,        -2.614280383845e-18,        -8.345565834208e-19
 3.60e+01,        -6.397254406388e-17,        -1.928290593291e-16,        -1.910823691874e-16,        -1.283275637816e-16,        -1.005085579613e-18,        -6.386262492845e-19,        -1.654509752018e-16,        -2.924898397317e-16,        -7.145541826093e-16,        -1.936817877435e-16,        -1.695472796591e-18,        -7.785116435626e-19,        -3.878368969444e-18,        -1.573773876470e-18,        -5.529731170259e-18,        -3.709672028662e-18,        -1.291008757119e-19,        -1.326581146651e-19,        -2.834097605687e-16,        -1.172966912101e-16,        -7.170820565431e-16,        -1.234876345731e-15,        -1.135933012133e-18,        -1.936659948225e-18,        -1.233557689752e-17,        -1.366930064158e-17,        -1.607396420984e-17,        -3.822887007503e-17,        -2.488688237614e-19,        -5.759071578253e-19,        -7.721356273764e-18,        -3.054258984256e-17,        -1.830729487801e-18,        -2.457272782524e-18,        -1.066219461577e-14,        +2.509707889632e-13,        -9.833826806504e-17,        -3.210508991885e-17,        -5.176840949257e-17,        -3.019410549627e-17,        -8.427851215823e-18,        -2.431085647083e-18
 3.70e+01,        -1.038604712181e-18,        -4.143660018407e-18,        -3.544549837070e-16,        -7.141829255442e-16,        -3.553188806314e-16,        -1.878400509961e-16,        -1.065121149451e-18,        -2.448369019800e-18,        -3.620694823792e-16,        -1.676830543808e-16,        -3.535946802600e-16,        -6.312093771671e-17,        -2.596458274566e-19,        -1.035915357931e-19,        -1.006796453800e-17,        -4.368876725897e-18,        -8.451854211804e-18,        -5.733459902635e-18,        -1.817258100751e-18,        -9.619297473381e-19,        -1.271284395113e-14,        -9.049364528125e-16,        -8.959347819191e-16,        -1.266256035378e-14,        -1.934772067332e-19,        -1.664573899225e-19,        -5.676221873044e-18,        -8.034967204530e-18,        -4.238987182001e-18,        -9.336150438630e-18,        -2.565570551905e-18,        -8.424545267805e-18,        -1.428209345563e-17,        -5.177399190314e-17,        -1.025526692132e-16,        -9.833826806504e-17,        +2.327520718828e-13,        -1.065807735540e-14,        -2.736623177988e-18,        -1.828565555743e-18,        -1.444876105661e-17,        -7.725676558075e-18
 3.80e+01,        -2.818990251733e-19,        -1.084259327766e-18,        -6.527034585877e-17,        -1.936665378276e-16,        -1.905889378643e-16,        -1.254942249445e-16,        -4.586633901103e-19,        -1.315958033345e-18,        -1.676833533995e-16,        -2.934776592711e-16,        -7.138973522095e-16,        -1.896881405969e-16,        -7.056031703563e-20,        -2.834054684986e-20,        -4.036515792307e-18,        -1.673359686574e-18,        -5.505315381101e-18,        -3.649984102061e-18,        -5.757832368961e-19,        -2.885443673278e-19,        -2.847919133348e-16,        -1.168992079929e-16,        -7.283285406076e-16,        -1.235509782188e-15,        -1.476422717618e-19,        -1.118761274330e-19,        -1.262881654735e-17,        -1.411490838107e-17,        -1.646792448747e-17,        -3.797461163397e-17,        -8.361458641486e-19,        -2.498989926937e-18,        -7.734616095692e-18,        -3.052265765397e-17,        -2.496240711175e-17,        -3.210508991885e-17,        -1.065807735540e-14,        +2.509810927355e-13,        -3.397284084833e-18,        -2.396644595329e-18,        -5.179102597309e-17,        -3.017320402290e-17
 3.90e+01,        -9.498888511184e-19,        -1.595383821277e-18,        -1.100568735710e-18,        -1.005075334025e-18,        -4.698316092596e-20,        -3.310328443263e-20,        -3.489808068965e-16,        -7.106799541804e-16,        -3.554561616735e-16,        -1.905373257443e-16,        -1.064551759496e-18,        -6.602307432622e-19,        -2.642922440308e-20,        -1.132986726781e-20,        -2.881791273342e-20,        -1.796819047455e-20,        -2.471012971035e-21,        -2.032877034873e-21,        -9.534479445855e-18,        -3.954269765842e-18,        -8.492696737938e-18,        -5.821491369747e-18,        -1.694821893108e-19,        -1.834795252648e-19,        -1.275876476048e-14,        -9.098803108750e-16,        -9.232451995278e-16,        -1.266632520906e-14,        -8.449226997917e-19,        -1.604314825619e-18,        -3.819238409705e-20,        -1.355296914294e-19,        -1.350518052497e-20,        -2.805884664077e-20,        -1.435370727920e-17,        -5.176840949257e-17,        -2.736623177988e-18,        -3.397284084833e-18,        +2.328230697348e-13,        -1.061493918028e-14,        -1.009612825773e-16,        -2.204292359567e-17
 4.00e+01,        -4.098257492396e-19,        -7.495516566727e-19,        -6.867485077569e-19,        -6.385618755114e-19,        -3.310196418197e-20,        -2.350787956175e-20,        -6.195716285780e-17,        -1.888689387122e-16,        -1.878132833807e-16,        -1.254633714639e-16,        -8.998934260837e-19,        -5.651740604356e-19,        -1.284888997431e-20,        -5.446788422637e-21,        -1.739482667007e-20,        -1.061411036176e-20,        -1.666957689677e-21,        -1.353881675524e-21,        -3.840196115017e-18,        -1.544936379938e-18,        -5.477594057188e-18,        -3.666019755114e-18,        -1.261512446746e-19,        -1.326672190701e-19,        -2.761187062032e-16,        -1.108176689738e-16,        -7.520410067841e-16,        -1.219859668015e-15,        -8.533615313316e-19,        -1.549929205087e-18,        -2.066291079480e-20,        -7.533814622761e-20,        -8.520768163092e-21,        -1.830737410004e-20,        -7.715260762316e-18,        -3.019410549627e-17,        -1.828565555743e-18,        -2.396644595329e-18,        -1.061493918028e-14,        +2.511358501724e-13,        -9.181902845776e-17,        -2.451565057524e-17
 4.10e+01,        -4.471829429091e-20,        -1.203800367376e-19,        -1.082527926738e-18,        -1.695109973302e-18,        -1.064468525376e-18,        -8.998086521496e-19,        -1.002699374636e-18,        -4.048269746534e-18,        -3.534908276994e-16,        -7.130478207228e-16,        -3.552682389013e-16,        -1.873423557940e-16,        -3.177303828020e-21,        -1.285679529690e-21,        -3.203354526826e-20,        -1.517001518954e-20,        -2.666400553992e-20,        -1.688465909146e-20,        -2.643768572486e-19,        -1.065511128302e-19,        -1.011620872724e-17,        -4.361074608226e-18,        -8.496122348158e-18,        -5.744586401762e-18,        -1.632984532485e-18,        -8.700174038718e-19,        -1.275812151433e-14,        -9.040449758913e-16,        -9.359235704409e-16,        -1.267635335273e-14,        -1.302606979494e-20,        -4.793310440055e-20,        -3.933989172755e-20,        -1.361180284864e-19,        -2.614280383845e-18,        -8.427851215823e-18,        -1.444876105661e-17,        -5.179102597309e-17,        -1.009612825773e-16,        -9.181902845776e-17,        +2.327902337729e-13,        -1.061614361169e-14
 4.20e+01,        -1.264980660992e-20,        -3.581108075093e-20,        -4.495765873084e-19,        -7.785396807997e-19,        -6.603666095642e-19,        -5.652828404138e-19,        -2.439776705554e-19,        -9.665573759621e-19,        -6.314053415589e-17,        -1.896103773463e-16,        -1.874312090378e-16,        -1.228278019248e-16,        -1.049448485678e-21,        -4.229796237831e-22,        -1.475741699834e-20,        -6.765976411326e-21,        -1.584467539234e-20,        -9.830832056067e-21,        -6.887068091368e-20,        -2.810425605679e-20,        -3.994354791770e-18,        -1.644206777456e-18,        -5.459041504734e-18,        -3.606840374036e-18,        -4.117821781114e-19,        -2.149509034439e-19,        -2.770729133328e-16,        -1.101939581527e-16,        -7.631023361785e-16,        -1.219793135039e-15,        -5.150425237064e-21,        -1.844570863332e-20,        -2.082115325365e-20,        -7.483537894536e-20,        -8.345565834208e-19,        -2.431085647083e-18,        -7.725676558075e-18,        -3.017320402290e-17,        -2.204292359567e-17,        -2.451565057524e-17,        -1.061614361169e-14,        +2.511518018768e-13
